month,new_,new_repeat,existing_repeat,reactivated,retention_new,retention_existing
2017-10-01,34978,4602,22094,52110,0.1420501898323919,0.29277536308703489
2017-11-01,35512,4957,22449,50904,0.14171765109497397,0.28486409664238765
2017-12-01,29895,4556,20579,44735,0.12829466095967559,0.26278891584727365
2018-01-01,32437,3772,20021,51955,0.12617494564308412,0.28654644339487617
2018-02-01,31620,4275,20690,48437,0.13179393902025466,0.27314252521518723
2018-03-01,36662,4604,21801,54516,0.14560404807084124,0.29700825590583363
2018-04-01,34423,5039,22081,49065,0.1374447656974524,0.27287107178606296
2018-05-01,34961,4609,21649,51984,0.13389303663248409,0.28416354925510273
2018-06-01,32150,4525,20853,47262,0.12942993621463916,0.26651926075509319
2018-07-01,34172,4407,20064,49041,0.13707620528771383,0.27621145374449341
2018-08-01,32812,4720,20275,49454,0.13812478052206484,0.27580531069757319
2018-09-01,29782,4115,19548,45685,0.12541143484091186,0.26256900697121521
2018-10-01,33561,4261,19807,51692,0.14307299711234975,0.28561746553613659
2018-11-01,32064,4472,20279,47213,0.13324990316140758,0.26767423442449839
2018-12-01,28327,3956,18014,42652,0.12337824351297405,0.25031960424656774
2019-01-01,32542,3565,17885,49551,0.12585166095950859,0.27676333137321657
2019-02-01,31826,4170,18894,47012,0.12814209329481902,0.266108928043267
2019-03-01,35840,4466,19744,51072,0.140325520015082,0.28175124150921854
2019-04-01,35493,4742,19941,47319,0.13231026785714287,0.26488403602454769
2019-05-01,34246,4438,19118,47656,0.125038740033246,0.26552040221104967
2019-06-01,30104,3938,17763,43295,0.11499153185773521,0.24943829691625008
2019-07-01,34221,3792,17591,48122,0.12596332713260697,0.27064742445688966
2019-08-01,29761,4130,17475,43965,0.12068612840068964,0.251420761096324
2019-09-01,30552,3532,16739,45060,0.11867880783575821,0.25528442885465913
2019-10-01,35044,4046,17836,48798,0.13242995548572925,0.27300975034822672
2019-11-01,33593,4575,18680,46270,0.13055016550622076,0.26428975664968873
2019-12-01,29676,3954,17143,42569,0.11770309290626023,0.24657317511686444
2020-01-01,32267,3757,17113,48484,0.12660062002965358,0.26879339050670686
2020-02-01,32354,4086,18254,46764,0.12663092323426411,0.26320039219078928
2020-03-01,35602,4243,18783,50384,0.13114298077517464,0.27180771011808291
2020-04-01,43749,5118,20539,55157,0.14375596876579969,0.27978477046723882
2020-05-01,47608,6411,22771,56682,0.14654049235411096,0.28177048531195092
2020-06-01,48254,6906,24496,58361,0.1450596538396908,0.28528836299263954
2020-07-01,44683,6440,24739,56699,0.1334604385128694,0.27560353374998608
2020-08-01,39436,5591,22933,52471,0.12512588680258713,0.26096406381574455
