a_month,a_total_count,a_with_vote_28days,vote_count,vote_rate,avg_votes
2012-10-01,258369,141256,281507,0.54672193645522493,1.9928852579713427
2012-11-01,247969,135557,269564,0.54666914009412471,1.9885656956114401
2012-12-01,230157,125586,254084,0.54565361905134324,2.0231872979472234
2013-01-01,266072,139898,280320,0.52579001172614936,2.0037455860698508
2013-02-01,255254,129255,248938,0.5063779607763248,1.9259448377238793
2013-03-01,289336,145840,283781,0.50405065391102388,1.9458379045529348
2013-04-01,281768,140753,271990,0.4995350785043014,1.9323922047842674
2013-05-01,274059,137065,274834,0.50012953415140537,2.00513624922482
2013-06-01,257494,128634,256900,0.499561154823025,1.9971391700483543
2013-07-01,287995,140787,275549,0.48885223701800379,1.9572048555619481
2013-08-01,282864,137257,266830,0.48524025680185529,1.9440174271621848
2013-09-01,270957,130602,251303,0.48200267939193303,1.9241895223656607
2013-10-01,299782,142735,267003,0.47612932063966484,1.8706203804252637
2013-11-01,283296,134919,245353,0.47624745848864791,1.8185207420748746
2013-12-01,272615,130571,243976,0.478957504172551,1.8685312971486778
2014-01-01,307943,146333,272349,0.47519508480465539,1.8611591370367586
2014-02-01,298386,139184,255186,0.46645620102819835,1.8334434992527877
2014-03-01,318752,146283,265225,0.45892417929926715,1.8130951648516915
2014-04-01,294914,134681,238566,0.4566788962205931,1.7713411691329883
2014-05-01,263783,121460,221252,0.46045423700541732,1.821603820187716
2014-06-01,238705,109738,204327,0.45972225131438388,1.8619530153638666
2014-07-01,262945,118524,213059,0.45075586149194696,1.7976021733994803
2014-08-01,243520,111028,201672,0.45592969776609726,1.8164066721907988
2014-09-01,244795,109932,200216,0.4490777997916624,1.8212713313684823
2014-10-01,252169,113463,202870,0.44994824899174762,1.7879837480059579
2014-11-01,243698,106954,186716,0.43887926860294296,1.7457598593787984
2014-12-01,232530,104751,191152,0.45048380854083342,1.8248226747238689
2015-01-01,242691,110148,198070,0.45386108261122166,1.7982169444747067
2015-02-01,243550,108209,188586,0.44429891192773557,1.7427940374645363
2015-03-01,269665,117753,204178,0.43666400904826358,1.7339515766052669
2015-04-01,282265,129620,241772,0.45921385931659964,1.8652368461657152
2015-05-01,273079,129956,245392,0.4758915918104285,1.8882698759580165
2015-06-01,271247,126314,234459,0.46567888308442124,1.856160045600646
2015-07-01,282629,130870,241571,0.46304519352225004,1.8458852296171773
2015-08-01,262483,121544,222672,0.46305475021239473,1.8320279075890213
2015-09-01,256608,119226,220386,0.46462308267863822,1.8484726485833627
2015-10-01,265154,122561,221029,0.46222572542748741,1.8034203376277935
2015-11-01,250560,116271,209021,0.46404454022988506,1.7977053607520361
2015-12-01,248733,117678,220286,0.4731097200612705,1.8719386801271265
2016-01-01,261687,123697,227954,0.47269065715912523,1.8428417827433163
2016-02-01,268414,123874,223366,0.46150349832721094,1.8031709640441094
2016-03-01,285748,129242,227214,0.4522936293517365,1.7580507884433854
2016-04-01,277312,125396,222983,0.45218382183244865,1.7782305655682797
2016-05-01,268947,121697,216666,0.45249435762436463,1.7803725646482658
2016-06-01,258373,116051,205441,0.44916070951686127,1.7702647973735686
2016-07-01,248071,109864,192403,0.44287320968593669,1.751283404937013
2016-08-01,255687,114517,204074,0.44787963408386033,1.7820410943353389
2016-09-01,241095,106871,190077,0.443273398452892,1.7785648117824293
2016-10-01,243494,106555,183754,0.43760831889081458,1.724499084979588
2016-11-01,241017,106338,185283,0.44120539215076116,1.7423968854031484
2016-12-01,228197,101149,178493,0.44325297878587361,1.7646541241139309
2017-01-01,249788,111145,195749,0.44495732381059139,1.7612038328309865
