past_q_count_,q_count,q_with_fav_unique,q_with_fav_rate,fav_total,fav_per_q
93,2964,1487,0.50168690958164641,4080,2.7437794216543376
94,2903,1484,0.51119531519118155,4019,2.7082210242587603
95,2834,1375,0.48517995765702188,3714,2.701090909090909
96,2778,1380,0.49676025917926564,3970,2.8768115942028984
97,2732,1386,0.5073206442166911,3534,2.54978354978355
98,2665,1317,0.49418386491557226,3409,2.5884586180713742
99,2614,1334,0.51032899770466722,3222,2.4152923538230886
100,120768,59717,0.49447701377848435,158417,2.6527956863204785
200,30045,14738,0.49053087036112497,35355,2.3989008006513775
300,10225,5131,0.50180929095354521,11523,2.2457610602221787
400,4195,2150,0.51251489868891542,5569,2.5902325581395349
500,2340,1124,0.48034188034188036,2399,2.1343416370106763
600,1323,581,0.43915343915343913,1239,2.1325301204819276
700,611,298,0.48772504091653029,912,3.0604026845637584
800,237,135,0.569620253164557,412,3.0518518518518518
900,200,117,0.585,391,3.341880341880342
1000,134,79,0.58955223880597019,221,2.7974683544303796
1100,100,65,0.65,170,2.6153846153846154
1200,100,56,0.56,137,2.4464285714285716
1300,100,43,0.43,105,2.441860465116279
1400,100,49,0.49,184,3.7551020408163267
1500,100,56,0.56,116,2.0714285714285716
1600,100,49,0.49,157,3.204081632653061
1700,100,56,0.56,129,2.3035714285714284
1800,100,53,0.53,114,2.1509433962264151
1900,100,47,0.47,117,2.4893617021276597
2000,100,45,0.45,112,2.4888888888888889
2100,100,54,0.54,174,3.2222222222222223
2200,100,51,0.51,166,3.2549019607843137
2300,100,46,0.46,89,1.9347826086956521
2400,100,48,0.48,111,2.3125
2500,100,54,0.54,109,2.0185185185185186
2600,100,47,0.47,109,2.3191489361702127
2700,100,54,0.54,226,4.1851851851851851
2800,100,48,0.48,129,2.6875
2900,100,62,0.62,230,3.7096774193548385
3000,100,47,0.47,97,2.0638297872340425
3100,100,51,0.51,129,2.5294117647058822
3200,100,51,0.51,145,2.8431372549019609
3300,100,38,0.38,93,2.4473684210526314
3400,100,46,0.46,135,2.9347826086956523
3500,100,46,0.46,263,5.7173913043478262
3600,100,49,0.49,99,2.0204081632653059
3700,100,42,0.42,85,2.0238095238095237
3800,100,47,0.47,94,2
3900,100,55,0.55,136,2.4727272727272727
4000,100,55,0.55,95,1.7272727272727273
4100,100,56,0.56,112,2
4200,100,49,0.49,104,2.1224489795918369
4300,100,53,0.53,350,6.60377358490566
4400,100,48,0.48,180,3.75
4500,100,42,0.42,119,2.8333333333333335
4600,100,55,0.55,153,2.7818181818181817
4700,100,46,0.46,102,2.2173913043478262
4800,100,55,0.55,129,2.3454545454545452
4900,100,47,0.47,127,2.7021276595744679
5000,100,51,0.51,115,2.2549019607843137
5100,100,52,0.52,114,2.1923076923076925
5200,100,47,0.47,100,2.1276595744680851
5300,100,48,0.48,109,2.2708333333333335
5400,100,48,0.48,85,1.7708333333333333
5500,100,43,0.43,89,2.0697674418604652
5600,100,59,0.59,163,2.76271186440678
5700,100,40,0.4,79,1.975
