past_a_count_,a_count,a_with_fav_unique,a_with_fav_rate,fav_total,fav_per_a
54,26039,14796,0.56822458619762661,38026,2.5700189240335227
55,25508,14344,0.56233338560451618,35937,2.5053680981595092
56,24990,14146,0.56606642657062822,38566,2.7262830482115086
57,24498,14056,0.57376112335700868,36072,2.5663062037564028
58,23984,13820,0.57621747831887926,37007,2.6777858176555718
59,23499,13355,0.56832205625771315,35773,2.6786222388618497
60,23023,13331,0.57902966598618777,35631,2.6727927387292776
61,22534,12905,0.572690157095944,32726,2.5359163115071679
62,22096,12717,0.57553403330919628,32779,2.5775733270425416
63,21680,12401,0.57200184501845019,31749,2.5601967583259415
64,21273,12319,0.57909086635641427,33102,2.68706875558081
65,20883,12077,0.57831729157688072,31556,2.6129005547735367
66,20505,11863,0.57854181906851987,30594,2.5789429318047712
67,20147,11611,0.57631409142800416,29698,2.5577469640857808
68,19803,11473,0.57935666313184875,30897,2.6930183910049683
69,19473,11198,0.57505263698454268,29789,2.6602071798535452
70,19137,11098,0.579923708000209,28716,2.58749324202559
71,18830,10960,0.58204992033988312,28806,2.6282846715328465
72,18542,10814,0.58321648150145611,28623,2.6468466802293324
73,18269,10732,0.587443209808966,29047,2.7065784569511742
74,17994,10517,0.58447260197843731,26753,2.5437862508319862
75,17690,10363,0.58581119276427362,26711,2.57753546270385
76,17397,10213,0.58705523940909354,27568,2.6993048075981592
77,17110,10084,0.58936294564582115,26454,2.6233637445458151
78,16851,9866,0.58548454097679659,25022,2.536184877356578
79,16574,9740,0.58766743091589235,24845,2.5508213552361396
80,16310,9451,0.57946045370938071,23926,2.531583959369379
81,16065,9495,0.59103641456582634,25878,2.7254344391785148
82,15831,9285,0.58650748531362518,23218,2.500592353257943
83,15570,9246,0.59383429672447019,24180,2.6151849448410123
84,15318,9030,0.5895025460242852,24238,2.6841638981173865
85,15103,8744,0.57895782294908293,22537,2.5774245196706311
86,14905,8736,0.58611204293861119,22084,2.5279304029304028
87,14676,8661,0.590147179067866,24022,2.7735827271677636
88,14460,8519,0.58914246196403874,23015,2.7016081699730017
89,14259,8504,0.59639525913458169,21537,2.5325729068673564
90,14059,8287,0.58944448396045235,22205,2.6794980089296487
91,13859,8312,0.59975467205426081,21411,2.5759143407122234
92,13682,8188,0.598450518929981,21310,2.6025891548607718
93,13498,8051,0.59645873462735222,20528,2.5497453732455595
94,13306,7955,0.59785059371712013,20529,2.5806411062225014
95,13131,7903,0.601858198157033,20052,2.5372643300012654
96,12949,7685,0.59348212217159624,20977,2.7296031229668185
97,12772,7553,0.59137175070466641,19418,2.5708989805375349
98,12615,7573,0.60031708283789142,19762,2.6095338703287996
99,12458,7375,0.591989083319955,18601,2.5221694915254238
100,787195,489780,0.62218382992778154,1282270,2.6180530033892766
200,404368,263714,0.65216337593479212,683916,2.5934004262193135
300,262915,174941,0.66538995492839892,452438,2.5862319296219867
400,188746,127852,0.67737594439087456,329305,2.5756734349091137
500,144160,98077,0.68033435072142068,249128,2.5401266351947958
600,115248,79192,0.68714424545328334,200002,2.5255328821093039
700,92034,63143,0.68608340395940626,157495,2.4942590627623016
800,76978,53200,0.69110654992335474,131694,2.4754511278195488
900,65667,45368,0.69087974172719935,114340,2.5202786104743433
1000,56091,39125,0.69752723253284843,95755,2.44741214057508
