q_first_a_diff,q_total,q_next_in28days_count,q_next_after29days_count,q_no_repeat_count,q_retention_28days,q_retention_after29days,no_repeat_rate
25,42319,18230,14151,9938,0.43077577447482218,0.3343888088092819,0.23483541671589594
26,36141,15524,12292,8325,0.42953985777925346,0.34011233778810768,0.23034780443263883
27,31321,13491,10534,7296,0.43073337377478371,0.33632387216244691,0.23294275406276937
28,27626,11880,9245,6501,0.43002968218345039,0.33464851951060592,0.23532179830594369
29,24406,10584,8070,5752,0.43366385315086453,0.33065639596820456,0.2356797508809309
30,21679,9421,7199,5059,0.43456801512984916,0.332072512569768,0.23335947230038287
31,19172,8311,6476,4385,0.43349676611725435,0.33778426872522427,0.22871896515752138
32,17382,7527,5831,4024,0.43303417328270627,0.335461972155103,0.23150385456219078
33,16429,6986,5530,3913,0.42522368981678738,0.3365999147848317,0.23817639539838092
34,15736,6830,5221,3685,0.43403660396542959,0.33178698525673617,0.23417641077783427
35,15125,6451,5127,3547,0.42651239669421487,0.33897520661157027,0.23451239669421486
36,14679,6263,4987,3429,0.42666394168540089,0.33973703930785476,0.23359901900674432
37,14497,6253,4854,3390,0.43133062012830242,0.33482789542664,0.23384148444505759
38,14191,6085,4676,3430,0.42879289690649003,0.32950461560143751,0.24170248749207243
39,14474,6222,4887,3365,0.42987425728893186,0.33763990603841371,0.23248583667265441
40,15648,6638,5292,3718,0.42420756646216767,0.33819018404907975,0.23760224948875255
41,16098,6803,5423,3872,0.42259908063113433,0.33687414585662817,0.24052677351223756
42,16411,7063,5572,3776,0.43038206081286939,0.33952836512095547,0.23008957406617514
43,16568,6978,5624,3966,0.4211733462095606,0.33944954128440369,0.23937711250603574
44,16900,7180,5654,4066,0.42485207100591715,0.33455621301775146,0.24059171597633136
45,17350,7384,5960,4006,0.42559077809798274,0.34351585014409219,0.23089337175792507
46,17821,7425,6088,4308,0.416643286010886,0.34161943774198977,0.24173727624712418
47,18067,7619,6165,4283,0.42170808656666853,0.34122986660762716,0.23706204682570431
48,18225,8009,6138,4078,0.43945130315500686,0.3367901234567901,0.223758573388203
49,16400,7247,5551,3602,0.44189024390243903,0.33847560975609758,0.21963414634146342
50,14579,6470,4913,3196,0.44378901159201589,0.336991563207353,0.21921942520063104
51,13231,5762,4426,3043,0.43549240420225227,0.33451742120776962,0.22999017458997809
52,11818,5202,3927,2689,0.44017600270773394,0.33228972753426977,0.22753426975799629
53,10962,4695,3742,2525,0.42829775588396279,0.34136106549899653,0.23034117861704068
54,9901,4311,3341,2249,0.43541056458943539,0.33744066255933747,0.22714877285122714
55,9125,4016,3024,2085,0.44010958904109587,0.33139726027397259,0.22849315068493151
56,8545,3836,2735,1974,0.44891749561146871,0.32007021650087769,0.2310122878876536
57,8295,3549,2819,1927,0.42784810126582279,0.33984327908378542,0.23230861965039179
58,8105,3524,2651,1930,0.434793337446021,0.32708204811844538,0.23812461443553362
59,7913,3383,2700,1830,0.42752432705674209,0.3412106659926703,0.23126500695058763
60,7930,3418,2705,1807,0.43102143757881461,0.341109709962169,0.22786885245901639
61,7950,3457,2620,1873,0.43484276729559751,0.32955974842767294,0.23559748427672955
62,7904,3429,2735,1740,0.433830971659919,0.34602732793522267,0.22014170040485831
63,8521,3628,2932,1961,0.4257716230489379,0.34409106912334231,0.23013730782771974
64,9471,3996,3332,2143,0.42191954387076336,0.35181079083518108,0.22626966529405554
65,10467,4432,3592,2443,0.42342600554122478,0.34317378427438616,0.23340021018438903
66,11045,4764,3823,2458,0.43132639203259393,0.346129470348574,0.22254413761883204
67,11332,4853,3960,2519,0.42825626544299328,0.34945287680903636,0.22229085774797036
68,11204,4757,3976,2471,0.42458050696179933,0.35487325955016064,0.22054623348803998
69,11910,5116,4117,2677,0.42955499580184719,0.34567590260285475,0.22476910159529806
70,12408,5211,4323,2874,0.41997098646034814,0.34840425531914893,0.23162475822050291
71,12721,5474,4325,2922,0.43031208238346041,0.3399889945758981,0.22969892304064146
72,11575,4897,4043,2635,0.42306695464362853,0.34928725701943847,0.22764578833693305
73,10147,4363,3460,2324,0.42997930422785058,0.3409874839854144,0.229033211786735
74,9174,4053,3047,2074,0.44179202092871156,0.33213429256594723,0.22607368650534118
75,8136,3486,2810,1840,0.42846607669616521,0.34537856440511305,0.22615535889872174
76,7434,3111,2554,1769,0.4184826472962066,0.34355663169222489,0.23796072101156848
77,6871,2928,2433,1510,0.42613884441857081,0.35409692912239848,0.21976422645903071
78,6030,2604,2067,1359,0.4318407960199005,0.3427860696517413,0.2253731343283582
79,5690,2406,1924,1360,0.42284710017574695,0.33813708260105446,0.23901581722319859
80,5073,2181,1745,1147,0.42992312241277353,0.34397792233392471,0.22609895525330179
81,4878,2050,1674,1154,0.42025420254202545,0.34317343173431736,0.23657236572365722
82,4875,2050,1642,1183,0.42051282051282052,0.33682051282051284,0.24266666666666667
83,4803,2008,1662,1133,0.41807203830938994,0.34603372891942535,0.23589423277118468
