q_month,q_total_count,q_with_vote_28days,vote_count,vote_rate,avg_votes
2014-04-01,197069,66996,117303,0.33996214523846979,1.7508955758552749
2014-05-01,178727,63645,114989,0.35610176414307854,1.806724801634064
2014-06-01,164792,59312,110828,0.35992038448468372,1.8685594820609657
2014-07-01,179505,64528,113463,0.35947745188156321,1.7583529630547978
2014-08-01,165572,58806,105304,0.35516874833909118,1.7907016290854674
2014-09-01,168106,58462,106050,0.34776866976788456,1.813998836851288
2014-10-01,175057,59123,104066,0.33773570894051652,1.7601610202459279
2014-11-01,168755,56525,97969,0.334953038428491,1.7331977001326846
2014-12-01,157228,60971,112769,0.38778716259190477,1.8495514260878123
2015-01-01,167951,62017,107614,0.36925650933903342,1.7352338874824644
2015-02-01,170309,60793,103204,0.35695706040197522,1.6976296613096902
2015-03-01,192006,67986,113767,0.35408268491609635,1.6733886388374077
2015-04-01,191956,80617,160039,0.41997645293713143,1.9851768237468523
2015-05-01,187764,85987,171395,0.45795253616241666,1.9932664239943247
2015-06-01,189879,83619,164895,0.44038045281468724,1.9719800523804398
2015-07-01,197442,87969,171303,0.44554350138268456,1.9473109845513761
2015-08-01,183172,80373,153005,0.43878431201275303,1.9036865614074379
2015-09-01,179566,79535,150535,0.44292906229464374,1.8926887533790155
2015-10-01,188305,81387,149968,0.43220838533230665,1.8426530035509356
2015-11-01,179970,78868,144294,0.43822859365449796,1.8295633209920372
2015-12-01,174217,82208,160675,0.47187128695821878,1.9544934799532891
2016-01-01,182924,81556,154697,0.44584636242373882,1.8968193633822159
2016-02-01,190238,82673,151296,0.43457668814852973,1.8300533426874555
2016-03-01,203678,85047,151146,0.41755614253871309,1.7772055451691418
2016-04-01,198712,82761,150222,0.41648717742260155,1.8151303150034437
2016-05-01,191341,79752,142974,0.41680559838194636,1.7927324706590431
2016-06-01,186103,75987,134858,0.40830615304428192,1.7747509442404621
2016-07-01,178491,71962,127830,0.40316878722176469,1.7763541869319919
2016-08-01,183368,76770,142554,0.41866628855634569,1.8568972254787026
2016-09-01,173149,70476,130896,0.40702516329866184,1.8573131278733186
2016-10-01,176839,69697,121285,0.39412686115619294,1.7401753303585521
2016-11-01,176786,69949,123629,0.39567047164368219,1.7674162604183048
2016-12-01,163751,67418,119063,0.41171046283686819,1.766041709929099
2017-01-01,178431,73565,129219,0.41228822345892813,1.7565282403316795
2017-02-01,176789,69734,121199,0.39444761834729536,1.738018756990851
2017-03-01,203342,76645,128013,0.37692655722870827,1.6702067975732273
2017-04-01,180330,68014,114765,0.37716408806077745,1.6873731878730849
2017-05-01,188229,68876,118568,0.365915985315759,1.7214704686683315
2017-06-01,179948,67849,115779,0.37704781381287927,1.706421612698787
2017-07-01,181444,70318,122008,0.38754657084279448,1.7350891663585426
2017-08-01,179241,72520,129131,0.404594930847295,1.7806260341974627
2017-09-01,163867,65224,115290,0.39803010978415421,1.7676008831105114
2017-10-01,171797,65765,112534,0.38280645180067174,1.711153349045845
2017-11-01,170820,66060,111802,0.38672286617492097,1.6924311232213141
2017-12-01,146789,58908,102325,0.40131072491807968,1.7370306240239017
2018-01-01,162059,63834,113983,0.39389358196706137,1.7856158160228091
2018-02-01,154702,60396,104245,0.390402192602552,1.7260249023114114
2018-03-01,174900,68441,117894,0.39131503716409377,1.7225639601992957
2018-04-01,164188,65840,113395,0.40100372743440449,1.7222812879708385
2018-05-01,169322,68142,119965,0.40244032080887304,1.7605148073141381
2018-06-01,156145,60890,105910,0.38995805181081689,1.7393660699622269
2018-07-01,161307,63847,109256,0.39581047319707141,1.7112158754522531
2018-08-01,160256,65201,112505,0.40685528154952078,1.72551034493336
2018-09-01,146305,59034,102900,0.40349953863504323,1.7430633194430327
2018-10-01,162523,63704,108807,0.39196913667603972,1.7080089162375989
2018-11-01,151888,59518,101063,0.39185452438638996,1.6980241271548102
2018-12-01,134140,53968,95069,0.40232592813478457,1.7615809368514674
2019-01-01,151608,59618,103691,0.39323782386153766,1.7392566003555974
2019-02-01,148450,58019,99981,0.39083192994274168,1.7232458332615177
2019-03-01,163544,65038,110686,0.39767891209705031,1.7018666010639933
2019-04-01,155800,61408,104158,0.39414634146341465,1.6961633663366336
2019-05-01,153670,59482,101949,0.38707620225157807,1.7139470764264819
2019-06-01,138101,54764,92929,0.39655035083018952,1.696899422978599
2019-07-01,152921,58721,97749,0.38399565788871376,1.66463445786005
2019-08-01,138557,55889,94738,0.40336468023990124,1.6951099500796221
2019-09-01,138291,54723,91718,0.39570904831116993,1.6760411527145807
2019-10-01,154341,57502,94042,0.37256464581673049,1.6354561580466767
2019-11-01,150032,56031,92517,0.37346032846326116,1.6511752422765968
2019-12-01,134213,52406,86953,0.39046888155394782,1.659218410105713
2020-01-01,148616,57091,94182,0.3841511008235991,1.6496820864934929
2020-02-01,147212,53375,85477,0.36257234464581689,1.6014426229508196
2020-03-01,158380,55362,85597,0.34955171107463062,1.5461327264188431
2020-04-01,185803,61134,92250,0.32902590377980978,1.5089802728432624
2020-05-01,201846,65681,100718,0.32540154375117664,1.5334419390691372
2020-06-01,208842,63328,98159,0.30323402380747166,1.5500094744820616
2020-07-01,200623,62108,96139,0.30957567178239781,1.5479326334771688
